STEMI_pre_period_1_time1,STEMI_post_period_1_time1,STEMI_pre_period_2_time1,STEMI_post_period_2_time1,STEMI_pre_period_3_time1,STEMI_post_period_3_time1,NSTEMI_pre_period_1_time1,NSTEMI_post_period_1_time1,NSTEMI_pre_period_2_time1,NSTEMI_post_period_2_time1,NSTEMI_pre_period_3_time1,NSTEMI_post_period_3_time1,STEMI_pre_period_1_time2,STEMI_post_period_1_time2,STEMI_pre_period_2_time2,STEMI_post_period_2_time2,STEMI_pre_period_3_time2,STEMI_post_period_3_time2,NSTEMI_pre_period_1_time2,NSTEMI_post_period_1_time2,NSTEMI_pre_period_2_time2,NSTEMI_post_period_2_time2,NSTEMI_pre_period_3_time2,NSTEMI_post_period_3_time2
31,38,209,270,103,504,855,169,124,713,62,372,49,37,51,52,42,36,565,276,806,3747,353,1663
50,302,226,1235,137,27,2078,856,424,30,233,158,3452,68,34,74,58,43,1072,1524,1702,1407,752,4105
125,2033,14,68,3444,246,272,2683,145,304,556,1689,60,1132,51,84,100,39,1258,4219,1267,340,1388,1121
129,25,41,58,25,544,72,654,164,6585,320,2291,50,75,66,25,4879,31,1213,1082,2296,4166,882,747
141,643,112,111,129,119,672,2053,406,2088,260,68,35,31,64,337,46,41,1382,1031,815,1314,1310,561
215,198,7321,19,233,137,87,190,177,130,65,1881,66,32,89,2312,40,263,518,4483,4422,1551,1255,4639
340,129,28,949,115,50,236,593,1437,1580,77,73,14,67,43,35,41,71,831,4272,2211,1357,4360,1687
33,70,108,284,92,59,1697,19,57,12556,178,231,45,28,51,49,47,45,673,1234,2129,1100,555,274
913,283,1138,67,1515,109,90,198,1432,360,63,109,104,40,42,31,35,41,1496,530,2453,5550,660,1221
114,122,672,1359,88,83,586,1005,246,1311,57,1329,40,20,42,3041,58,36,4135,97,2289,667,2803,3480
415,58,69,36,78,208,52,56,408,423,182,71,43,26,47,1921,60,42,1223,2951,2204,1504,1162,1336
89,157,3789,417,1593,1377,51,351,708,1971,30,991,39,52,58,43,62,32,393,697,2375,83,4368,297
1888,103,43,194,740,157,459,96,862,574,77,5162,67,40,36,51,32,1073,1042,2199,1442,1085,5167,1142
58,307,715,93,277,453,3987,81,2879,59,1107,1288,36,32,59,54,47,33,1230,255,169,822,573,39
434,147,27,68,252,138,642,237,177,78,374,3931,195,32,35,53,2937,47,1568,2484,1730,1434,2108,266
10,193,108,69,246,275,109,1649,1368,158,7109,82,68,42,22,13523,45,72,1508,3952,4253,7269,1705,213
578,57,61,61,30,363,1329,239,2000,428,307,11345,46,438,60,37,50,60,888,2760,12552,5619,1413,4161
116,79,1198,58,1387,27,1640,,714,233,375,4866,4466,33,1525,196,43,45,4074,4359,3869,2257,2818,1238
48,79,178,323,330,62,55,,105,,4797,346,58,94,43,67,43,32,2273,4428,2563,292,1096,544
655,995,96,207,140,38,76,,53,,1364,116,42,32,47,22,78,23,325,1439,5043,2289,1107,3304
727,120,5869,32,299,94,290,,1171,,4624,47,45,37,39,21,34,457,1344,3894,3443,1856,2710,5492
764,69,181,54,2691,174,1056,,55,,250,177,37,77,42,32,45,23,2876,414,1223,40,1482,68
116,144,172,29,94,25,486,,42,,24,287,43,41,112,57,43,32,3729,1416,233,107,1146,177
35,16012,49,81,3028,66,146,,,,435,265,71,32,34,37,251,59,1065,3704,3140,4229,391,988
106,938,643,139,50,147,888,,,,1486,69,45,33,241,77,40,46,358,4003,754,406,362,1238
307,214,16,121,331,73,249,,,,204,26,923,48,43,41,60,50,1361,276,542,1986,828,1546
1450,446,153,3473,74,371,594,,,,647,753,52,21,49,33,31,1489,1381,2011,4840,21546,1221,2244
215,365,16,487,191,69,1559,,,,79,605,38,31,33,36,29,28,2489,,1654,5277,1033,1508
363,22,56,20,136,345,,,,,2837,171,47,590,36,31,46,27,2738,,184,1107,2145,3174
68,105,1610,451,85,1705,,,,,1211,355,35,35,77,358,952,34,1763,,1062,520,2112,547
72,52,1918,76,59,167,,,,,204,95,31,43,159,36,30,281,2054,,164,367,213,1414
33,385,84,307,33,31,,,,,469,144,73,26,40,74,52,55,307,,4203,,173,1258
172,,98,4940,94,54,,,,,99,,31,56,69,66,315,23,1386,,2581,,2305,3973
149,,138,277,1335,107,,,,,67,,64,38,57,18,983,30,128,,1768,,271,93
346,,72,229,75,235,,,,,178,,145,32,58,45,22,22,1448,,1272,,1734,2550
242,,1516,151,304,261,,,,,651,,107,51,49,35,39,49,2834,,260,,2882,2651
357,,228,2155,2052,3556,,,,,439,,43,44,29,34,46,43,881,,5506,,1256,94
125,,203,102,59,,,,,,4482,,34,87,40,29,2669,64,1296,,1003,,1370,3890
309,,141,,182,,,,,,456,,28,45,37,33,44,34,8327,,3921,,2738,1622
735,,227,,163,,,,,,481,,4201,38,116,29,45,38,2980,,870,,736,995
1523,,415,,307,,,,,,1010,,1116,25,82,38,47,23,4525,,32,,1105,2979
263,,122,,740,,,,,,147,,55,28,32,46,31,40,2104,,5404,,1574,2709
393,,1455,,74,,,,,,83,,99,45,28,24,51,29,2210,,505,,2585,1143
35,,89,,204,,,,,,94,,70,,33,25,37,54,1733,,770,,255,1789
67,,119,,297,,,,,,113,,32,,34,6834,66,,1624,,689,,5013,1225
2747,,29,,98,,,,,,,,32,,772,38,35,,492,,754,,1480,1030
48,,222,,466,,,,,,,,43,,32,44,61,,3841,,1451,,3806,1589
170,,128,,159,,,,,,,,137,,2411,,146,,1271,,2400,,838,2261
28,,739,,159,,,,,,,,48,,14,,48,,43,,1133,,2318,1292
29,,81,,630,,,,,,,,31,,150,,36,,3819,,989,,2391,
65,,117,,61,,,,,,,,29,,45,,38,,3294,,4178,,348,
,,2716,,67,,,,,,,,43,,105,,32,,2752,,,,413,
,,467,,312,,,,,,,,2233,,30,,33,,791,,,,497,
,,4571,,736,,,,,,,,25,,43,,40,,7212,,,,1002,
,,293,,61,,,,,,,,73,,40,,35,,143,,,,255,
,,63,,2782,,,,,,,,111,,31,,26,,1515,,,,1346,
,,65,,32,,,,,,,,40,,44,,16,,1271,,,,1062,
,,69,,177,,,,,,,,44,,3271,,53,,781,,,,3970,
,,806,,120,,,,,,,,67,,61,,27,,1387,,,,182,
,,108,,158,,,,,,,,62,,28,,34,,4416,,,,1423,
,,267,,84,,,,,,,,77,,837,,16,,,,,,379,
,,151,,327,,,,,,,,86,,55,,26,,,,,,826,
,,128,,1557,,,,,,,,35,,801,,31,,,,,,4187,
,,61,,55,,,,,,,,43,,79,,45,,,,,,1144,
,,70,,1385,,,,,,,,40,,29,,39,,,,,,1386,
,,,,289,,,,,,,,38,,73,,53,,,,,,1086,
,,,,133,,,,,,,,78,,39,,43,,,,,,461,
,,,,228,,,,,,,,33,,38,,5489,,,,,,1223,
,,,,30,,,,,,,,40,,24,,45,,,,,,5816,
,,,,90,,,,,,,,27,,42,,53,,,,,,1526,
,,,,170,,,,,,,,45,,77,,1941,,,,,,3928,
,,,,134,,,,,,,,37,,37,,28,,,,,,2162,
,,,,147,,,,,,,,69,,27,,2519,,,,,,1277,
,,,,73,,,,,,,,36,,187,,38,,,,,,1154,
